mp-10018,13.226
mp-862690,17.221
mp-861724,14.533
mp-862319,16.536
mp-862786,19.11
mp-861883,18.099
mp-867241,16.817
mp-861872,14.917
mp-865951,17.573
mp-866107,20.378
mp-866103,15.688
mp-862849,20.391
mp-11107,35.758
mp-862698,16.796
mp-983586,16.682
mp-864795,15.850999999999999
mp-866018,21.003
mp-985554,14.982
mp-985302,14.427
mp-972002,11311.01
mp-866199,16.405
mp-862890,10.533
mp-862972,280.555
mp-862873,0.917
mp-862617,34.916
mp-867838,22.77
mp-27972,12.791
mp-867338,4.795
mp-861880,27.025
mp-27971,14.801
mp-30273,30.419
mp-864606,81.723
mp-985300,20.758
mp-985278,34.219
mp-867815,37.601
mp-24147,31.721
mp-861605,31.322
mp-862289,12.999
mp-861966,-10.602
mp-861867,1.677
mp-862860,-5.434
mp-985059,12.805
mp-866286,19.546
mp-984785,17.525
mp-865979,14.378
mp-866225,13.617
mp-861735,10.424
mp-866056,18.975
mp-36526,46.716
mp-867422,17.124
mp-865957,14.645
mp-865927,77.02
mp-865952,10.319
mp-984551,7.739
mp-865028,19.533
mp-979962,18.723
mp-866203,17.216
mp-979950,16.494
mp-124,13.21
mp-8566,32.087
mp-10597,33.559
mp-1103642,12.815
mp-23558,20.823
mp-4691,14.143
mp-1391,18.365
mp-555477,22.067
mp-23485,5.389
mp-570256,5.58
mp-29816,12.451
mp-9635,12.745
mp-353,-0.015
mp-5495,16.27
mp-36216,8.545
mp-1537871,8.147
mp-2025704,6.9190000000000005
mp-5625,11.243
mp-568936,12.175
mp-2022604,12.062
mp-16913,8.633
mp-1592,14.653
mp-32811,12.209
mp-4431,6.11
mp-34460,1.937
mp-985282,17.741
mp-17862,35.962
mp-985443,22.963
mp-27821,32.91
mp-4198,14.472
mp-985296,33.362
mp-12065,34.758
mp-2273,20.968
mp-5710,10.424
mp-22286,19.145
mp-559847,10.303
mp-37153,5.244
mp-984714,14.032
mp-4483,22.406
mp-863750,25.136
mp-985287,15.796
mp-996980,45.731
mp-996983,17.878
mp-776165,56.909
mp-35909,-4.26
mp-996965,19.323
mp-29678,14.291
mp-556094,14.436
mp-27916,16.44
mp-33618,21.01
mp-29656,15.999
mp-23231,8.539
mp-866291,4.678
mp-753176,-19.919
mp-22922,6.466
mp-775761,7.739
mp-22993,9.049
mp-7592,-14.623
mp-2284,11.136
mp-643431,6.91
mp-861501,0.11800000000000001
mp-22894,6.592
mp-22919,10.345
mp-22925,6.593
mp-567809,1.812
mp-996960,8.52
mp-552185,7.759
mp-2803876,11.556000000000001
mp-8200,25.878
mp-34418,4.15
mp-1025385,52.542
mp-30353,62.854
mp-997006,34.632
mp-1018033,37.018
mp-545999,0.01
mp-33683,-19.395
mp-12359,18.779
mp-12360,16.926
mp-134,-13.986
mp-10010,97.117
mp-7692,178.062
mp-3805,133.097
mp-17017,75.362
mp-550,58.772
mp-1648,77.342
mp-16719,75.356
mp-11227,58.228
mp-505572,68.175
mp-567929,78.001
mp-1498,31557.682
mp-1982,63.079
mp-530274,107.776
mp-2647,39.149
mp-29674,103.58
mp-5928,22.514
mp-3159,19.435
mp-3807,26.285
mp-7909,15.84
mp-867319,93.491
mp-984352,111.008
mp-862695,112.686
mp-998,47.617
mp-985806,59.777
mp-27719,33.92
mp-29111,105.494
mp-862691,118.533
mp-866031,110.178
mp-867330,89.022
mp-7906,22.148
mp-3038,19.26
mp-7910,15.86
mp-866284,130.885
mp-862694,97.627
mp-865989,127.182
mp-18093,81.165
mp-867775,83.722
mp-1143,128.563
mp-1938,146.396
mp-2254,104.324
mp-7048,102.826
mp-32570,111.213
mp-752826,81.144
mp-754401,45.373
mp-754624,110.963
mp-754812,53.564
mp-755066,84.014
mp-755175,125.957
mp-759943,111.116
mp-776475,127.515
mp-776490,145.301
mp-7188,142.279
mp-16522,31.202
mp-862715,80.631
mp-1502,38.584
mp-10910,103.353
mp-1009834,122.506
mp-867125,97.729
mp-867326,119.809
mp-2654,21.529
mp-4753,88.811
mp-4934,183.311
mp-5065,119.72
mp-29502,1.662
mp-9254,4.37
mp-12524,171.783
mp-4842,45.424
mp-7907,24.465
mp-7908,19.161
mp-867780,84.189
mp-985825,67.864
mp-10886,49.461
mp-983594,6.133
mp-2294,34.51
mp-571247,98.633
mp-622209,62.713
mp-1057,87.345
mp-16514,75.145
mp-16521,117.084
mp-10901,63.127
mp-16523,48.459
mp-10905,77.09
mp-1501,63.445
mp-867347,80.316
mp-2554,98.236
mp-983585,33.527
mp-23426,70.056
mp-1591,112.747
mp-30180,74.751
mp-30336,76.786
mp-3281,78.213
mp-196,83.776
mp-568607,97.442
mp-571053,82.612
mp-1791,77.568
mp-30337,102.302
mp-5798,104.243
mp-570001,57.151
mp-16528,72.365
mp-16529,73.629
mp-16718,69.162
mp-17856,65.271
mp-2733,104.805
mp-16488,72.22
mp-985805,33.298
mp-9631,59.765
